Restaurant Name,Location,Foods,Keywords,Comments,,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Rice and Curry,"rice, rice and curry, Rice, Curry with rice, Curry, bath","I have been buying their rice and curry for a while, and the food has always been delicious. They currently sell at 550, which is reasonable compared to other shops in the area. Only card payments are accepted.",,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU",Food is good but expensive,,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU",Worst food. Ordered kottu. It smelled awful.,,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU","They have a delicious range of kottus like grilled chicken kottu and double egg omelet kottu, but they are best known for their signature beef kottu. Paring your kottu with a heavy milkshake is sure to make a filling meal. For desserts, BARS cafe has a yummy chocolate biscuit pudding, chocolate mousse, and more to choose from. ",,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Egg Fried Rice,"Egg, Fried, Rice, Fried Rice, Egg fried rice ","I had the worst experience ever, I ordered egg-fried rice from Bars cafe through pick me and while eating the food found a worm in the chop suey. And the rice was so soggy overall the experience was bad and I highly don't recommend this place.",,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Chicken Satay ,"Chicken Satay, Satay, sattay, chicken ",Chicken Satay was most disappointing. It was like boiled pieces of chicken stuck on skewers.  Peanut sauce was as bad. Kindly refer to the photo posted under your site & what is being delivered just now. Very disappointing Bars! Get your standards quality controlled pleas,,,,,,,,,,,,,,,
BARS cafe,"6.898030321645603, 79.8700224285028",Biriyani,"Buriyani, Biriyani, biriani, biriyani","Just picked up 2 biriyani's based on the Google map Menu , price varied by a huge amount, could you kindly update. The boy answered saying it's correct but it wasn't. Please train your cashier to be courteous, I've also told him I have to make note of that. When I went to the counter he made a gesture, like mokkada from a little away from the counter! His attitude is off!",,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU","The Cheese Kotthu is a standout, arguably the best in Colombo. ",,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU",However wasn t really happy with the kottu. It tasted really sour . Not sure if that s the quality they give at all times,,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",This was incredibly disappointing and raised serious hygiene concerns. I urge others to be cautious if dining here.,,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Egg Cheese Rotti,"Egg Cheese Rotti, EGG ROTTI, cheese rotti, egg cheese","Tasty and worth the price, but crowded at night.",,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Egg Cheese Rotti,"Egg Cheese Rotti, EGG ROTTI, cheese rotti, egg cheese",The cheese and egg rotti was crispy buttery and tasty,,,,,,,,,,,,,,,
Hotel De Plaza,"6.9101334265701615, 79.85121759508941",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",he kottu was amazing mainly the cheese kottu,,,,,,,,,,,,,,,
