Rating,Comment
5,please provide some extra sambal the quantity was very less
3,"Tasty idlis and Kesari bath, but, chatni and sambar were not upto the mark. Especially, sambar was really bad.Packaging also can be little better.."
1,"Neer dosa was good ? but Rava dosa was bad bad worst not had that kind of Rava dosa ...before ? ,,,"
4,set dosa was awesome ??
1,"fuck you man, who send tea in juice cups, it got spilled"
2,chutney and sambar was done in the same package for 2 masala dosa.....it was really inconvenient cause i had to do seperation before goving it to my friend
1,they have cheated by not voda and also chutney
5,Good
3,"packing super and dosa,idli and vada is good but the sides is worst need to improve a lot in sides.. like sambar and Sagu.. if improved it will be a super please for south indian food.."
5,Spr
4,good
5,Awesome food
5,i had ordered south meals . i was very pleased with the taste and quality of the food . looking forward for more orders in the future with them :)
5,tasty nd yummy
4,good morning
5,very good
5,RATED 
5,nice
5,superb
5,nice ...??
4,"they forgot to pack chutney for 3 plates of idly vadas, however we got ONE, single plastic spoon"
5,Taste was amazing
5,good service
1,Food was packed very badly. We could see the deformation of the plastic wrapped around hot food.
1,neer dosa full waste....
5,good food every time...
4,kindly improve on delivery timing..it's getting late
5,on time delivery
5,Packaging and quality of food is Good.
2,food wasn't that great.
4,food quantity is low
1,i ordered something and received something
1,worst food taste.
1,Pathetic.. I had ordered for 2 masala dosa combo which includes 4 dosa and I have received only 2 dosas.. When I try to call the respective hotel person he is not responding properly.. Never ever order from here. Even the taste is not good. Never recommend this to anyone
1,it says 2 dosas but 1 was sent.
1,not given......combo dosa.....
5,Nice taste
5,good and super fast delivery
5,Awesome
1,Delivered wrong items
4,super ok
5,nice food
3,SPOON WAS NOT THERE AND PACKING OF TEA WAS NOT GOOD
3,"I have not received rice bath ,"
4,"Nice food, poori need to be hot"
5,satisfied just the boost was fallen down
1,just grinded papaya that too sour in taste and delivered as papaya milkshake
1,it was cold and moist!! yuck!! waste of money
5,great taste
3,not up to the mark
1,Horrible taste. overpriced food. Cold coffee was cold water to be honest.
1,Bad condition they delivered.. All sambaru and dal are leaked in cover.
5,Excellent Service
5,The food here available is very good quality and also very tasty. I am always regular customer for this hotel. It's really maintained well and very clean. Regarding the rates it's very reasonable also. So overall it's a good restaurant to all food lovers
4,"Small South Indian restaurant next to My office. One should stand and eat.if you love panner then definitely you should try ""panner in green pepper sauce"".it really tastes yummy.panner pepper dry which they serve is equally good.Update- Today Tried baby corn lollipop here and it was lip. Smacking."
5,No words for the paneer...one of the few places where u get authentic paneer dishes... Hotel staff are really good and the food quality is very very good...Parking : 2 wheeler and 4 wheeler availablePayment mode : Cash and cardNext time will try out pastries !!!
5,Newly opened cafe near KIMS Medical College.Spacious and pleasant ambiance.Must try Chicken Pakoda and Crispy Fried Chicken.Sheesha happy hours offers are good and affordable.
5,"I personally really liked this place ! The ambience with the rooftop , plants , the music is great !The starters are good and so were the pizzas.The prices are pretty affordable! Must visit place !"
5,Very good pizza... took unlimited pizza and could eat 3 pizzas easily per person... even service is very good... staff is very courteous and polite
4,Onward has been a favourite place for a Pizza for quite some time. Their Happy Hour Pizzas and Pizza Combos are to be relished. The pizzas are fluffy and have just the right amount of sauce and toppings to cheer you up.
3,Onesta serves unlimited pizza and desserts with pasta alsoThis places has multiple branches in the city and usually crowded on weekendsService: itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs good and decentPrices : affordableFood: desserts and shakes are very goodBut the pizzas are too thick base ones so until you order something very cheesy or with a generous topping canÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât taste itThe choclate banana pizza was a disappointment as was very raw
4,"I like going back to this place. I really like the ambience and the fact that it is a rooftop makes it a cool place to hangout. Although, I keep ordering almost the same thing every time, it has always turned out to be a nice experience. This place is famous for its pizza but, I kinda like their pasta more. Also, the tiramisu shots are to die for and so is the mozzarella cheese balls with a really generous amount of cheese inside. I would surely recommend this place and I would definitely keep going back."
